index,id,environment,trial_label,trial_index,sum_latency,key_pressed
668274.0 11.0 11.0,668274.0,high,11.0 11.0,11,2106.0,7
668274.0 11.0 21.0,668274.0,high,11.0 21.0,8,2317.0,8
668274.0 3.0 11.0,668274.0,high,3.0 11.0,7,2541.0,7
668274.0 4.0 21.0,668274.0,high,4.0 21.0,4,2396.0,4
668274.0 7.0 11.0,668274.0,high,7.0 11.0,7,2037.0,7
668274.0 8.0 21.0,668274.0,high,8.0 21.0,8,2057.0,8
668274.0 11.0 12.0,668274.0,low,11.0 12.0,7,2241.0,7
668274.0 11.0 22.0,668274.0,low,11.0 22.0,8,2225.0,8
668274.0 3.0 12.0,668274.0,low,3.0 12.0,8,2277.0,8
668274.0 4.0 22.0,668274.0,low,4.0 22.0,8,1696.0,8
668274.0 7.0 12.0,668274.0,low,7.0 12.0,8,2279.0,8
668274.0 8.0 22.0,668274.0,low,8.0 22.0,6,1972.0,6
668370.0 11.0 11.0,668370.0,high,11.0 11.0,8,1532.0,8
668370.0 11.0 21.0,668370.0,high,11.0 21.0,8,2356.0,8
668370.0 3.0 11.0,668370.0,high,3.0 11.0,8,1637.0,8
668370.0 4.0 21.0,668370.0,high,4.0 21.0,8,1438.0,8
668370.0 7.0 11.0,668370.0,high,7.0 11.0,8,1574.0,8
668370.0 8.0 21.0,668370.0,high,8.0 21.0,8,2036.0,8
668370.0 11.0 12.0,668370.0,low,11.0 12.0,8,1423.0,8
668370.0 11.0 22.0,668370.0,low,11.0 22.0,8,1945.0,8
668370.0 3.0 12.0,668370.0,low,3.0 12.0,8,2136.0,8
668370.0 4.0 22.0,668370.0,low,4.0 22.0,8,2159.0,8
668370.0 7.0 12.0,668370.0,low,7.0 12.0,8,1626.0,8
668370.0 8.0 22.0,668370.0,low,8.0 22.0,8,1756.0,8
672044.0 11.0 11.0,672044.0,high,11.0 11.0,8,2557.0,8
672044.0 11.0 21.0,672044.0,high,11.0 21.0,8,2089.0,8
672044.0 3.0 11.0,672044.0,high,3.0 11.0,8,2510.0,8
672044.0 4.0 21.0,672044.0,high,4.0 21.0,8,2743.0,8
