,id,environment,round_instance,quality_check,start_time,end_time,latency
239,621734.0,low,12.0,1.0,1551895104996.0,1551895105145.0,152.0
240,621734.0,low,12.0,1.0,1551895105148.0,1551895105297.0,151.0
241,621734.0,low,12.0,1.0,1551895105299.0,1551895105441.0,144.0
242,621734.0,low,12.0,1.0,1551895105443.0,1551895105602.0,161.0
243,621734.0,low,12.0,1.0,1551895105604.0,1551895105754.0,135081.0
244,621734.0,low,22.0,1.0,1551895240685.0,1551895241345.0,663.0
245,621734.0,low,22.0,1.0,1551895241348.0,1551895241472.0,127.0
246,621734.0,low,22.0,1.0,1551895241475.0,1551895241631.0,160.0
247,621734.0,low,22.0,1.0,1551895241635.0,1551895241728.0,97.0
248,621734.0,low,22.0,1.0,1551895241732.0,1551895241792.0,63.0
249,621734.0,low,22.0,1.0,1551895241795.0,1551895241881.0,88.0
250,621734.0,low,22.0,1.0,1551895241883.0,1551895242048.0,168.0
251,621734.0,low,22.0,1.0,1551895242051.0,1551895242144.0,50954.0
252,621734.0,low,22.0,1.0,1551895293005.0,1551895293615.0,612.0
253,621734.0,low,22.0,1.0,1551895293617.0,1551895293736.0,122.0
254,621734.0,low,22.0,1.0,1551895293739.0,1551895293840.0,104.0
255,621734.0,low,22.0,1.0,1551895293843.0,1551895294008.0,168.0
256,621734.0,low,22.0,1.0,1551895294011.0,1551895294112.0,104.0
257,621734.0,low,22.0,1.0,1551895294115.0,1551895294215.0,104.0
258,621734.0,low,22.0,1.0,1551895294219.0,1551895294288.0,38096.0
259,621734.0,low,22.0,1.0,1551895332315.0,1551895332872.0,560.0
260,621734.0,low,22.0,1.0,1551895332875.0,1551895333000.0,128.0
261,621734.0,low,22.0,1.0,1551895333003.0,1551895333128.0,128.0
262,621734.0,low,22.0,1.0,1551895333131.0,1551895333272.0,144.0
263,621734.0,low,22.0,1.0,1551895333275.0,1551895333416.0,144.0
264,621734.0,low,22.0,1.0,1551895333419.0,1551895333552.0,136.0
265,621734.0,low,22.0,1.0,1551895333555.0,1551895333688.0,-740698.0
266,621738.0,high,11.0,1.0,1551894592857.0,1551894593674.0,820.0
267,621738.0,high,11.0,1.0,1551894593677.0,1551894593835.0,161.0
268,621738.0,high,11.0,1.0,1551894593838.0,1551894593978.0,143.0
269,621738.0,high,11.0,1.0,1551894593981.0,1551894594122.0,146.0
270,621738.0,high,11.0,1.0,1551894594127.0,1551894594266.0,141.0
271,621738.0,high,11.0,1.0,1551894594268.0,1551894594411.0,144.0
272,621738.0,high,11.0,1.0,1551894594412.0,1551894594554.0,144.0
273,621738.0,high,11.0,1.0,1551894594556.0,1551894594700.0,50548.0
274,621738.0,high,11.0,1.0,1551894645104.0,1551894646205.0,1104.0
275,621738.0,high,11.0,1.0,1551894646208.0,1551894646365.0,159.0
276,621738.0,high,11.0,1.0,1551894646367.0,1551894646509.0,146.0
277,621738.0,high,11.0,1.0,1551894646513.0,1551894646652.0,143.0
278,621738.0,high,11.0,1.0,1551894646656.0,1551894646812.0,158.0
279,621738.0,high,11.0,1.0,1551894646814.0,1551894646957.0,146.0
280,621738.0,high,11.0,1.0,1551894646960.0,1551894647117.0,160.0
281,621738.0,high,11.0,1.0,1551894647120.0,1551894647260.0,50162.0
282,621738.0,high,11.0,1.0,1551894697282.0,1551894698310.0,1032.0
283,621738.0,high,11.0,1.0,1551894698314.0,1551894698462.0,153.0
284,621738.0,high,11.0,1.0,1551894698467.0,1551894698623.0,159.0
285,621738.0,high,11.0,1.0,1551894698626.0,1551894698782.0,161.0
286,621738.0,high,11.0,1.0,1551894698787.0,1551894698935.0,150.0
287,621738.0,high,11.0,1.0,1551894698937.0,1551894699071.0,138.0
288,621738.0,high,11.0,1.0,1551894699075.0,1551894699231.0,158.0
289,621738.0,high,11.0,1.0,1551894699233.0,1551894699374.0,87874.0
290,621738.0,high,21.0,1.0,1551894787107.0,1551894787985.0,882.0
291,621738.0,high,21.0,1.0,1551894787989.0,1551894788129.0,145.0
292,621738.0,high,21.0,1.0,1551894788134.0,1551894788306.0,181.0
293,621738.0,high,21.0,1.0,1551894788315.0,1551894788482.0,174.0
294,621738.0,high,21.0,1.0,1551894788489.0,1551894788643.0,161.0
295,621738.0,high,21.0,1.0,1551894788650.0,1551894788803.0,159.0
296,621738.0,high,21.0,1.0,1551894788809.0,1551894788979.0,176.0
297,621738.0,high,21.0,1.0,1551894788985.0,1551894789154.0,50498.0
298,621738.0,high,21.0,1.0,1551894839483.0,1551894840548.0,1067.0
299,621738.0,high,21.0,1.0,1551894840550.0,1551894840675.0,130.0
300,621738.0,high,21.0,1.0,1551894840680.0,1551894840852.0,175.0
301,621738.0,high,21.0,1.0,1551894840855.0,1551894841001.0,149.0
302,621738.0,high,21.0,1.0,1551894841004.0,1551894841156.0,156.0
303,621738.0,high,21.0,1.0,1551894841160.0,1551894841316.0,163.0
304,621738.0,high,21.0,1.0,1551894841323.0,1551894841461.0,145.0
305,621738.0,high,21.0,1.0,1551894841468.0,1551894841620.0,37243.0
306,621738.0,high,21.0,1.0,1551894878711.0,1551894879205.0,501.0
307,621738.0,high,21.0,1.0,1551894879212.0,1551894879366.0,157.0
308,621738.0,high,21.0,1.0,1551894879369.0,1551894879526.0,160.0
309,621738.0,high,21.0,1.0,1551894879529.0,1551894879671.0,150.0
310,621738.0,high,21.0,1.0,1551894879679.0,1551894879830.0,157.0
311,621738.0,high,21.0,1.0,1551894879836.0,1551894879974.0,141.0
312,621738.0,high,21.0,1.0,1551894879977.0,1551894880156.0,77367.0
313,621738.0,low,12.0,1.0,1551894957344.0,1551894958521.0,1187.0
314,621738.0,low,12.0,1.0,1551894958531.0,1551894958664.0,144.0
315,621738.0,low,12.0,1.0,1551894958675.0,1551894958857.0,186.0
316,621738.0,low,12.0,1.0,1551894958861.0,1551894959017.0,170.0
317,621738.0,low,12.0,1.0,1551894959031.0,1551894959176.0,50604.0
318,621738.0,low,12.0,1.0,1551895009635.0,1551895010667.0,1042.0
319,621738.0,low,12.0,1.0,1551895010677.0,1551895010826.0,160.0
320,621738.0,low,12.0,1.0,1551895010837.0,1551895010970.0,144.0
