Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mgaa,reaction time,key pressed,price_displayed,order,environment,round instance,task,function id,rod fixing checked,builtin rt,end_time,start_time
2068,1.55E+12,19/02/2019 02:30:02,1.55E+12,8,19/02/2019 10:30:05,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,120,40,0.1,high-low,low,12,null,fishing_l,null,119.98,1550540000000.00,1550540000000.00
2069,1.55E+12,19/02/2019 02:30:02,1.55E+12,8,19/02/2019 10:30:06,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,90,40,0.1,high-low,low,12,null,fishing_l,null,89.52000015,1550540000000.00,1550540000000.00
2070,1.55E+12,19/02/2019 02:30:02,1.55E+12,8,19/02/2019 10:30:06,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,120,40,0.1,high-low,low,12,null,fishing_l,null,120.4669999,1550540000000.00,1550540000000.00
2071,1.55E+12,19/02/2019 02:30:03,1.55E+12,8,19/02/2019 10:30:06,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,120,40,0.1,high-low,low,12,null,fishing_l,null,119.4799999,1550540000000.00,1550540000000.00
2072,1.55E+12,19/02/2019 02:30:03,1.55E+12,8,19/02/2019 10:30:06,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,91,40,0.1,high-low,low,12,null,fishing_l,null,90.03399988,1550540000000.00,1550540000000.00
2073,1.55E+12,19/02/2019 02:30:03,1.55E+12,8,19/02/2019 10:30:06,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,134,40,0.1,high-low,low,12,null,fishing_l,null,134.51,1550540000000.00,1550540000000.00
2074,1.55E+12,19/02/2019 02:30:03,1.55E+12,8,19/02/2019 10:30:07,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,120,40,0.1,high-low,low,12,null,fishing_l,null,119.192,1550540000000.00,1550540000000.00
2075,1.55E+12,19/02/2019 02:30:04,1.55E+12,8,19/02/2019 10:30:07,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,107,40,0.1,high-low,low,12,null,fishing_l,null,106.6050001,1550540000000.00,1550540000000.00
2076,1.55E+12,19/02/2019 02:30:04,1.55E+12,8,19/02/2019 10:30:07,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,150,40,0.1,high-low,low,12,null,fishing_l,null,150.1230001,1550540000000.00,1550540000000.00
2077,1.55E+12,19/02/2019 02:30:04,1.55E+12,8,19/02/2019 10:30:07,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,104,40,0.1,high-low,low,12,null,fishing_l,null,104.4330001,1550540000000.00,1550540000000.00
2078,1.55E+12,19/02/2019 02:30:05,1.55E+12,8,19/02/2019 10:30:08,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,119,40,0.1,high-low,low,12,null,fishing_l,null,119.678,1550540000000.00,1550540000000.00
2079,1.55E+12,19/02/2019 02:30:05,1.55E+12,8,19/02/2019 10:30:08,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,119,40,0.1,high-low,low,12,null,fishing_l,null,119.494,1550540000000.00,1550540000000.00
