Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mgaa,reaction time,key pressed,price_displayed,order,environment,round instance,task,function id,rod fixing checked,builtin rt,end_time,start_time
46,1.55032E+12,16/02/2019 13:47:52,1.55032E+12,0,16/02/2019 13:47:50,6138,15,task-igty,,2181016,,590938,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1920x1080,1920x937,,High to Low,52,High to Low,110,40,0.3,high-low,high,11,fishing,fishing_h,,108.76,1550324870171.00,1550324870061.00
47,1.55032E+12,16/02/2019 13:47:52,1.55032E+12,0,16/02/2019 13:47:50,6138,15,task-igty,,2181016,,590938,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1920x1080,1920x937,,High to Low,52,High to Low,100,40,0.3,high-low,high,11,fishing,fishing_h,,100.34,1550324870376.00,1550324870276.00
48,1.55032E+12,16/02/2019 13:47:53,1.55032E+12,0,16/02/2019 13:47:50,6138,15,task-igty,,2181016,,590938,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1920x1080,1920x937,,High to Low,52,High to Low,143,40,0.3,high-low,high,11,fishing,fishing_h,,141.76,1550324870626.00,1550324870483.00
49,1.55032E+12,16/02/2019 13:47:53,1.55032E+12,0,16/02/2019 13:47:50,6138,15,task-igty,,2181016,,590938,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1920x1080,1920x937,,High to Low,52,High to Low,122,40,0.3,high-low,high,11,fishing,fishing_h,,121.225,1550324870858.00,1550324870736.00
50,1.55032E+12,16/02/2019 13:47:53,1.55032E+12,0,16/02/2019 13:47:51,6138,15,task-igty,,2181016,,590938,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1920x1080,1920x937,,High to Low,52,High to Low,119,40,0.3,high-low,high,11,fishing,fishing_h,,118.335,1550324871081.00,1550324870962.00
51,1.55032E+12,16/02/2019 13:47:53,1.55032E+12,0,16/02/2019 13:47:51,6138,15,task-igty,,2181016,,590938,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1920x1080,1920x937,,High to Low,52,High to Low,120,40,0.3,high-low,high,11,fishing,fishing_h,,119.295,1550324871306.00,1550324871186.00
52,1.55032E+12,16/02/2019 13:47:54,1.55032E+12,0,16/02/2019 13:47:51,6138,15,task-igty,,2181016,,590938,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1920x1080,1920x937,,High to Low,52,High to Low,125,40,0.3,high-low,high,11,fishing,fishing_h,,123.845,1550324871538.00,1550324871413.00
53,1.55032E+12,16/02/2019 13:47:54,1.55032E+12,0,16/02/2019 13:47:51,6138,15,task-igty,,2181016,,590938,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1920x1080,1920x937,,High to Low,52,High to Low,112,40,0.3,high-low,high,11,fishing,fishing_h,,112.01,1550324871755.00,1550324871643.00
54,1.55032E+12,16/02/2019 13:47:54,1.55032E+12,0,16/02/2019 13:47:52,6138,15,task-igty,,2181016,,590938,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1920x1080,1920x937,,High to Low,52,High to Low,99,40,0.3,high-low,high,11,fishing,fishing_h,,98.505,1550324871962.00,1550324871863.00
55,1.55032E+12,16/02/2019 13:47:54,1.55032E+12,0,16/02/2019 13:47:52,6138,15,task-igty,,2181016,,590938,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1920x1080,1920x937,,High to Low,52,High to Low,137,40,0.3,high-low,high,11,fishing,fishing_h,,135.435,1550324872204.00,1550324872067.00
