Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mgaa,checkpoint-z52s,checkpoint-u6nu,checkpoint-puaw,checkpoint-axcr,checkpoint-mrc4,reaction time,stimulus,button pressed
4,1551894445413,06/03/2019 17:47:25,1551894444571,0,06/03/2019 17:47:24,6138,31,task-jgum,,2280477,5c55a6daf0a1fe00017f4756,621749,,complete,,5c8007193585990001e18d14,computer,Desktop or Laptop,Windows 10,Firefox 65.0,1366x768,1366x693,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,1503,/task/29849/3/asset/Goat.mp3,0
1,1551894580682,06/03/2019 17:49:40,1551894580431,0,06/03/2019 17:49:40,6138,31,task-jgum,,2280524,5bdca092e27ddf0001185103,621753,,complete,,5c8007961f93070012f8acf1,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1366x768,1366x695,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,4843.070000002626,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1551894584164,06/03/2019 17:49:44,1551894584132,0,06/03/2019 17:49:44,6138,31,task-jgum,,2280524,5bdca092e27ddf0001185103,621753,,complete,,5c8007961f93070012f8acf1,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1366x768,1366x695,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,3691.7300000204705,/task/29849/3/asset/Dog.mp3,1
3,1551894587634,06/03/2019 17:49:47,1551894587613,0,06/03/2019 17:49:47,6138,31,task-jgum,,2280524,5bdca092e27ddf0001185103,621753,,complete,,5c8007961f93070012f8acf1,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1366x768,1366x695,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,3476.624999952037,/task/29849/3/asset/Owl.mp3,0
4,1551894589571,06/03/2019 17:49:49,1551894589442,0,06/03/2019 17:49:49,6138,31,task-jgum,,2280524,5bdca092e27ddf0001185103,621753,,complete,,5c8007961f93070012f8acf1,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1366x768,1366x695,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,1823.6950000282377,/task/29849/3/asset/Goat.mp3,0
1,1551894669726,06/03/2019 17:51:09,1551894668515,0,06/03/2019 17:51:08,6138,31,task-jgum,,2280544,5c635ac08a8eed000143da6c,621762,,complete,,5c8008660fa63e00166305ba,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.121,1920x1080,1920x979,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,2531.669999996666,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1551894673383,06/03/2019 17:51:13,1551894672481,0,06/03/2019 17:51:12,6138,31,task-jgum,,2280544,5c635ac08a8eed000143da6c,621762,,complete,,5c8008660fa63e00166305ba,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.121,1920x1080,1920x979,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,3962.120000000141,/task/29849/3/asset/Dog.mp3,1
3,1551894675825,06/03/2019 17:51:15,1551894674910,0,06/03/2019 17:51:14,6138,31,task-jgum,,2280544,5c635ac08a8eed000143da6c,621762,,complete,,5c8008660fa63e00166305ba,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.121,1920x1080,1920x979,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,2426.770000001852,/task/29849/3/asset/Owl.mp3,0
4,1551894678356,06/03/2019 17:51:18,1551894677435,0,06/03/2019 17:51:17,6138,31,task-jgum,,2280544,5c635ac08a8eed000143da6c,621762,,complete,,5c8008660fa63e00166305ba,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.121,1920x1080,1920x979,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,2521.9150000011723,/task/29849/3/asset/Goat.mp3,0
1,1551894697286,06/03/2019 17:51:37,1551894698451,0,06/03/2019 17:51:38,6138,31,task-jgum,,2280555,5c40dea5f374a90001622c8e,621759,,complete,,5c8007e316fe5f0001f841fb,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1366x768,1366x625,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,5608.155000023544,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
