Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mgaa,reaction time,key pressed,price_displayed,order,environment,round_instance,task,function id,rod fixing checked,builtin_rt,end_time,start_time
35,1551625618423,03/03/2019 15:06:58,1551625609285,0,03/03/2019 15:06:49,6138,27,task-5e3j,,2253541,,614535,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1200,1903x976,,Low to High with Rod Fixing,12,Low to High,149,40,1.8,low-high,low,11,fishing,fishing_l,null,148.4199999831617,1551625609183,1551625609034
36,1551625618423,03/03/2019 15:06:58,1551625609521,0,03/03/2019 15:06:49,6138,27,task-5e3j,,2253541,,614535,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1200,1903x976,,Low to High with Rod Fixing,12,Low to High,132,40,1.8,low-high,low,11,fishing,fishing_l,null,131.81000004988164,1551625609419,1551625609287
37,1551625618423,03/03/2019 15:06:58,1551625609774,0,03/03/2019 15:06:49,6138,27,task-5e3j,,2253541,,614535,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1200,1903x976,,Low to High with Rod Fixing,12,Low to High,150,40,1.8,low-high,low,11,fishing,fishing_l,null,149.36000003945082,1551625609673,1551625609523
38,1551625618423,03/03/2019 15:06:58,1551625609998,0,03/03/2019 15:06:49,6138,27,task-5e3j,,2253541,,614535,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1200,1903x976,,Low to High with Rod Fixing,12,Low to High,118,40,1.8,low-high,low,11,fishing,fishing_l,null,118.13499999698251,1551625609895,1551625609777
39,1551625618423,03/03/2019 15:06:58,1551625610267,0,03/03/2019 15:06:50,6138,27,task-5e3j,,2253541,,614535,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1200,1903x976,,Low to High with Rod Fixing,12,Low to High,165,40,1.8,low-high,low,11,fishing,fishing_l,null,164.68000004533678,1551625610165,1551625610000
40,1551625618423,03/03/2019 15:06:58,1551625610515,0,03/03/2019 15:06:50,6138,27,task-5e3j,,2253541,,614535,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1200,1903x976,,Low to High with Rod Fixing,12,Low to High,145,40,1.8,low-high,low,11,fishing,fishing_l,null,144.76499997545034,1551625610412,1551625610267
41,1551625618423,03/03/2019 15:06:58,1551625610757,0,03/03/2019 15:06:50,6138,27,task-5e3j,,2253541,,614535,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1200,1903x976,,Low to High with Rod Fixing,12,Low to High,138,40,1.8,low-high,low,11,fishing,fishing_l,null,137.1150000486523,1551625610655,1551625610517
42,1551625618423,03/03/2019 15:06:58,1551625610988,0,03/03/2019 15:06:50,6138,27,task-5e3j,,2253541,,614535,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1200,1903x976,,Low to High with Rod Fixing,12,Low to High,127,40,1.8,low-high,low,11,fishing,fishing_l,null,126.60499999765307,1551625610886,1551625610759
43,1551625618423,03/03/2019 15:06:58,1551625611239,0,03/03/2019 15:06:51,6138,27,task-5e3j,,2253541,,614535,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1200,1903x976,,Low to High with Rod Fixing,12,Low to High,145,40,1.8,low-high,low,11,fishing,fishing_l,null,144.70000006258488,1551625611136,1551625610991
44,1551625618423,03/03/2019 15:06:58,1551625611482,0,03/03/2019 15:06:51,6138,27,task-5e3j,,2253541,,614535,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1200,1903x976,,Low to High with Rod Fixing,12,Low to High,140,40,1.8,low-high,low,11,fishing,fishing_l,null,139.8950000293553,1551625611381,1551625611241
